Date,Adj Close,Close,High,Low,Open,Volume
29/03/2023,3707.87,4100.0,4120.0,4070.0,4090.0,113.504.700
30/03/2023,3698.82,4090.0,4130.0,4040.0,4050.0,87.690.800
31/03/2023,3671.69,4060.0,4120.0,4040.0,4110.0,93.699.000
03/04/2023,3689.78,4080.0,4100.0,4070.0,4100.0,56.896.200
04/04/2023,3671.69,4060.0,4100.0,4040.0,4080.0,82.969.200
05/04/2023,3753.09,4150.0,4170.0,4080.0,4100.0,70.419.100
06/04/2023,3843.52,4250.0,4270.0,4170.0,4200.0,125.329.700
10/04/2023,3888.74,4300.0,4300.0,4190.0,4250.0,85.757.900
11/04/2023,3888.74,4300.0,4300.0,4250.0,4290.0,84.322.900
12/04/2023,3897.78,4310.0,4350.0,4260.0,4320.0,178.923.700
13/04/2023,3924.91,4340.0,4350.0,4290.0,4340.0,119.431.600
14/04/2023,3924.91,4340.0,4360.0,4320.0,4340.0,117.305.500
17/04/2023,3861.61,4270.0,4340.0,4250.0,4340.0,59.688.000
18/04/2023,3861.61,4270.0,4280.0,4230.0,4240.0,65.644.600
26/04/2023,3979.18,4400.0,4500.0,4330.0,4480.0,198.984.100
27/04/2023,3906.83,4320.0,4450.0,4300.0,4450.0,58.407.000
28/04/2023,3843.52,4250.0,4320.0,4220.0,4270.0,112.116.900
02/05/2023,3789.26,4190.0,4220.0,4130.0,4210.0,117.097.400
03/05/2023,3753.09,4150.0,4200.0,4080.0,4200.0,158.597.800
04/05/2023,3753.09,4150.0,4190.0,4140.0,4170.0,98.421.300
05/05/2023,3771.17,4170.0,4170.0,4080.0,4160.0,113.408.100
08/05/2023,3671.69,4060.0,4180.0,4040.0,4170.0,121.002.600
09/05/2023,3680.74,4070.0,4090.0,4030.0,4050.0,105.907.900
10/05/2023,3735.0,4130.0,4130.0,4040.0,4050.0,84.306.600
11/05/2023,3698.82,4090.0,4120.0,4060.0,4100.0,74.171.300
12/05/2023,3599.35,3980.0,4050.0,3950.0,4050.0,236.777.600
15/05/2023,3599.35,3980.0,3990.0,3930.0,3990.0,113.329.300
16/05/2023,3599.35,3980.0,4020.0,3940.0,4020.0,68.777.200
17/05/2023,3608.39,3990.0,4020.0,3960.0,3980.0,83.183.300
19/05/2023,3635.52,4020.0,4060.0,3970.0,3990.0,95.986.000
22/05/2023,3653.61,4040.0,4080.0,3980.0,4000.0,115.578.100
23/05/2023,3653.61,4040.0,4080.0,4030.0,4030.0,132.751.000
24/05/2023,3762.13,4160.0,4200.0,4020.0,4020.0,194.127.500
25/05/2023,3725.96,4120.0,4220.0,4120.0,4190.0,122.121.000
26/05/2023,3735.0,4130.0,4160.0,4110.0,4140.0,62.211.800
29/05/2023,3798.3,4200.0,4200.0,4090.0,4120.0,77.540.300
30/05/2023,3725.96,4120.0,4190.0,4120.0,4140.0,78.924.700
31/05/2023,3653.61,4040.0,4160.0,4040.0,4120.0,1.155.861.400
05/06/2023,3689.78,4080.0,4130.0,4020.0,4060.0,189.129.300
06/06/2023,3698.82,4090.0,4130.0,4050.0,4090.0,95.792.700
07/06/2023,3753.09,4150.0,4150.0,4080.0,4100.0,127.707.400
08/06/2023,3771.17,4170.0,4180.0,4120.0,4160.0,78.989.700
09/06/2023,3753.09,4150.0,4170.0,4140.0,4170.0,83.014.700
12/06/2023,3816.79,4050.0,4050.0,4010.0,4040.0,94.687.300
13/06/2023,3797.94,4030.0,4060.0,4030.0,4040.0,69.609.000
14/06/2023,3769.67,4000.0,4040.0,3990.0,4020.0,110.730.800
15/06/2023,3788.52,4020.0,4040.0,3980.0,3990.0,85.391.800
16/06/2023,3741.4,3970.0,4030.0,3960.0,4020.0,160.978.900
19/06/2023,3731.98,3960.0,3990.0,3950.0,3960.0,54.934.100
20/06/2023,3760.25,3990.0,3990.0,3950.0,3980.0,55.155.600
21/06/2023,3750.82,3980.0,3980.0,3950.0,3970.0,60.191.300
22/06/2023,3713.13,3940.0,3990.0,3940.0,3980.0,56.150.900
23/06/2023,3722.55,3950.0,3960.0,3940.0,3940.0,41.812.400
26/06/2023,3760.25,3990.0,3990.0,3940.0,3940.0,36.011.500
27/06/2023,3769.67,4000.0,4030.0,3990.0,4030.0,64.879.900
03/07/2023,3769.67,4000.0,4030.0,3970.0,4030.0,75.193.200
04/07/2023,3741.4,3970.0,4010.0,3970.0,4000.0,33.974.300
05/07/2023,3750.82,3980.0,3980.0,3950.0,3970.0,43.303.000
06/07/2023,3731.98,3960.0,3990.0,3960.0,3970.0,68.088.900
07/07/2023,3731.98,3960.0,3980.0,3950.0,3960.0,50.474.800
10/07/2023,3722.55,3950.0,3980.0,3940.0,3960.0,65.643.300
11/07/2023,3750.82,3980.0,3990.0,3950.0,3950.0,89.768.500
12/07/2023,3750.82,3980.0,4010.0,3970.0,3980.0,73.770.400
13/07/2023,3694.28,3920.0,3970.0,3910.0,3960.0,83.009.900
14/07/2023,3703.7,3930.0,3960.0,3920.0,3960.0,64.886.900
17/07/2023,3684.85,3910.0,3970.0,3910.0,3950.0,81.399.700
18/07/2023,3628.31,3850.0,3930.0,3820.0,3930.0,135.860.500
20/07/2023,3628.31,3850.0,3860.0,3810.0,3820.0,88.907.600
